Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Land Surface Temperature,EN.LND.LTMP.DC,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.8439806,11.1556653,11.5947469,12.2812372,11.7191286,12.0941855,12.218516,12.4686855,10.8435441,11.34366,11.3433613,11.4368265,10.8440058,12.0312146,11.9062357,11.4685326,11.8441311,11.7188123,12.4677383,11.6560309,11.4051478,12.4066632,..
Land Surface Temperature,EN.LND.LTMP.DC,Israel,ISR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.6838618,33.1905248,33.0614637,33.1823852,32.81338,32.6876762,32.9408121,32.9410214,33.3156069,33.4383811,34.4390722,32.6925485,33.3137708,33.440104,33.1886465,32.5588154,33.810843,33.6903591,33.3119968,33.3131258,33.4398937,34.3117709,..
Land Surface Temperature,EN.LND.LTMP.DC,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.8761522,19.1242177,19.8755676,21.1269717,19.3756383,19.1249035,20.1270753,20.6250142,20.1255576,20.1257259,18.8766585,20.6257497,20.6263955,19.8772811,20.1263592,20.6255888,20.1275993,21.1258507,20.1258887,20.6273965,20.8753859,20.3760802,..
Land Surface Temperature,EN.LND.LTMP.DC,Jamaica,JAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.932051,27.3124701,27.4385052,27.4363307,27.6876448,27.4347678,27.5590205,27.1900561,27.18768,27.5593652,27.4360431,27.3127396,27.3107631,27.8147513,27.9362612,28.1858982,27.5592292,27.1844465,27.31045,27.810439,28.0602486,27.4360138,..
Land Surface Temperature,EN.LND.LTMP.DC,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.1254636,14.3767198,14.8751303,14.0620761,15.3749626,14.373245,14.124837,15.3764164,14.6880834,14.6249687,14.8766048,14.1255373,14.1259975,14.6251209,14.6249213,15.3772461,15.3130861,14.3744507,15.3741502,15.3131814,15.3754343,15.3114993,..
Land Surface Temperature,EN.LND.LTMP.DC,Jordan,JOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.8121561,34.5621465,34.1881536,34.0630539,33.9366661,33.4372668,33.9375986,33.6867824,34.4379685,34.4372621,35.3119276,33.8134688,34.5616601,34.0627109,34.4380044,33.8127731,34.8121712,34.8133236,34.1857102,34.4362026,34.8131816,35.5630906,..
Land Surface Temperature,EN.LND.LTMP.DC,Kazakhstan,KAZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.8744454,14.8741726,16.6254119,14.1238672,15.8732179,16.3742734,16.8753589,16.1240679,17.1250103,15.8749383,16.8756568,14.3742995,16.2568241,17.6247395,15.8748593,16.3756739,15.8743288,15.6248707,15.1234202,16.3737901,17.1243575,17.2494753,..
Land Surface Temperature,EN.LND.LTMP.DC,Kenya,KEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.6251563,37.1271838,35.8757945,36.6255201,36.1252276,37.3753572,36.125835,35.3753443,36.6256711,37.8758679,36.6267781,36.8758076,36.6262977,36.3757416,36.874788,37.3747471,37.6254898,38.3741296,35.8743765,37.1271419,35.1258631,37.6238866,..
Land Surface Temperature,EN.LND.LTMP.DC,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.3456142,30.653766,30.5266051,30.28032,30.817361,30.5993789,30.7152055,30.4010221,30.0908286,31.0277155,29.7844847,30.2168583,30.1608751,30.5915453,31.0334163,29.7809793,29.9254778,30.2831924,31.0376112,30.4008303,30.9707221,30.6024565,..
Land Surface Temperature,EN.LND.LTMP.DC,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.5629717,12.062258,12.310935,12.4390022,12.436554,11.5620944,12.186649,12.8762746,13.1872424,12.938052,10.9354373,11.814028,10.8120403,12.0630806,13.6876205,13.3136115,12.5600016,12.5604164,12.9370113,13.9372297,12.9365393,13.188261,..
